义演	benefit
美铝	aluminum
犯罪团伙	mob
弓	bow
（尤指用作容器的）圆筒状物	cylinder
头部	head	poll
贡品	tribute
风铃	mobile
伤心事	sorrow
口可怕的事情	nightmare
[集合词]飞机	aviation
沸腾	boil
个体	unit	individual
产生	generation
迟钝	inertia
夫人	madame	wife
口少量	ounce
进口商品	import
白昼	daylight
书脊	spine
触发电器	trigger
（木制）长凳	bench
法（用于已婚妇女姓名前的尊称）太太	madame
额外令人高兴的事情	bonus
变乱	disturbance
信奉	embrace
中国式平底帆船	junk
科目	course	subject
Eternal上帝	eternal
缺口	breach	chip	gap
机构	apparatus	framework	organ	organization	agency
处方药	prescription
警卫	guard
汤	soup
乐曲	music
廉价出售的图书	remainder
直觉	antenna	insight	intuition
安全设备	safety
拉链	zip
十八岁	eighteen
多数	majority
牧师	minister	priest	shepherd	divine
[法]履行（契约等）	implement
投票数	poll	vote
八十	eighty
（尤指卧铺车厢的）列车服务员	porter
遵守	obedience
接力赛	relay
年刊	annual
适当人选	material
饶恕	pardon
温室	greenhouse
名词	noun
鞋底	sole
护罩	shield
年利	yearly
[复数]房屋	premise
揭发	revelation	exposure
女主角	heroine
数目	discount	number	quantity
测量图	survey
旁观者	spectator
前厅	hall
运载工具	mount
出租马车	cab
隐约的闪现	glimpse
咧嘴笑	grin
信	belief	letter
组件	module
湿气	moisture	sweat
医疗设备	doctor
[建]圆屋顶	bell
下场	grave
熟练	proficiency	skill
新发明	innovation
警官	officer
蒜头	garlic
确信	conviction	assurance
牺牲行为	sacrifice
（人或车辆）行列	queue
量级	magnitude
纸张尺寸	imperial
伪造的货币	queer
成份	score
反驳的回答	retort
小卖部	canteen
[体]篮球运动	basketball
宴会	banquet	dinner	feast	symposium
资助人	patron
混合（状态）	mixture
起始点	verge
通讯中用以代表字母u的词	uniform
补片	patch
钢制品	steel
[化]镍	nickel
电话转接员	central
厌恶	disgust
秋千	swing
卷轴	reel
化学作用（现象）	chemistry
方格	square
上坡	up
获得	acquisition
增值网	van
蛋糕	trifle	cake
主旨	motive
公用电话亭	booth
成熟雄鸟	cock
大多数	bulk
表达	expression
委任状	commission
储备物资	provision
现今	today
女士	madame	miss
码头	dock
括弧	bracket
砏岩	scar
性能	capacity	performance
眩晕	spin
地下室	basement	cellar
（可听到响声的）重击	crack
[乐]弓根	nut
霜冻	frost
汹涌的行动（或思想）态势	wave
（书）写	writing
“dialogue”的变体	dialog
依据	warrant
邮资	postage
[机]平面锤	flatter
脊柱	spine
烟雾污染	smog
烧蚀	erosion
战士	champion
简短声明	brief
扑灭	destruction
谷地	valley
进入	entrance	entry	access	income
巴士	bus
一万亿	billion
矮子	dwarf
发明物	invention
人才	talent
葡萄	grape
地面	floor	ground
奖赏	premium	prize
或然性	probability
情况	case	condition	state	instance
病人	patient	sick	invalid
[乐]主题	theme
上将	general
直达的火车或汽车	limited
凝固	set
联合集团	combine
谜一般的事物	puzzle
阻碍物	hamper	interference
多样化	variety
背信	treason
同盟盟友	federal
条纹	stripe
最重要的优越性	best
奴隶般受控的人	slave
中止	halt
条约	compact	pact	treaty
行距	leading
形成物	formation
女儿	daughter
（语法）人称	person
（气温	dive
证书	deed	letter
美口可口可乐	coke
复制人（或动植物）	clone
锻铁炉	forge
夸张的行动或形象	production
贡献	contribution
更易	shift
来源	fountain
[航天]宇宙飞船	spacecraft
（象征胜利的）棕榈叶	palm
野战医院	ambulance
谷物粗粉（用作饲料或加工面粉）	meal
白色颜料	white
歌剧	opera
启发灵感的人（或事物）	inspiration
触轮	trolley
[主英国、新西兰口语]宴会	do
[部门	steward
围城（期间）	siege
额外的时间	overtime
球茎	bulb
富人	wealthy
空闲时间	leisure
原稿截止时间	deadline
粮食	cereal	food	grain	supply
牲口	animal	cattle
渔民	fisherman
家里人	household
生细胞	cell
胚芽	germ
发热	fever	flush	heat
[乐]组曲	suite
颤动	tremble
发烧	fever
会客室	chamber
惊恐	scare	startle	alarm
宽慰	relief
被压碎的状态	crush
画风	pencil
烟叶	tobacco
外面	outside	outward	exterior	external
支持者	support	advocate	ally
不定期领取救济金的人	casual
退出	exit
美俚囚犯工作席	piano
嫉妒	envy
史殖民	plantation
（潜艇）下潜	dive
地位较高的	senior
有关系的事	funeral
游客	visitor
不光彩	disgrace
大城市人	metropolitan
苹果属植物的果实（如野生酸苹果、沙果）	apple
线索	clue	cue	hint	key	thread
审判员	justice
地图	map
侵犯人身	assault
电梯	elevator	lift
纸上空论	academic
几率	odds	probability
露岩	scar
转向	turnover
聊天	chin
寻常的事物	commonplace
奖状	diploma
（球等的）反跳	bound
航线	route	airline
伙计	guy	assistant
（需要技术、工艺的）行业	art
评判委员会	jury
一瓶（的量）	bottle
公文夹	jacket
精力	energy	go	kick	steam	tuck	zip
组成	constitution
陷入	plunge
启示	message	revelation
被发现的事物	discovery
大笑	laughter	roar
[影视]歌舞片	musical
不断袭击	siege
试图	crack	offer
滑屐	slipper
热烈鼓掌	applause
支持	behalf
开动	start
英镑	pound
入选者	choice
[天]黄经	longitude
[语]大括号	brace
爆裂	burst
未开化的地方	wild
刺激物	prompt
制成品	manufacture
十字架	cross
记日志者	journalist
触点	contact
断崖	scar
舞曲	dance
替代者	replacement
推开	shove
披肩	cape	wrap
东方国家	east
关键	hinge	key
突发事件	emergency
拇指球	ball
多余量	excess
压榨	press	squeeze
黄油状的食品	butter
内衣	shirt	vest
神经	nerve
（赛马的）开始	off
闪烁	glitter	wink
历法	calendar
成就	effort	success
可能入选者	probable
信望	prestige
北部	north
警戒状态	alert
化石	fossil
颅骨	skull
恩泽	benefit	grace
[地质学]地核	core
宗耶稣	lamb
大学或其分校	campus
用半径度量的圆形面积	radius
抵触	interference
包装袋	package	packages
颠倒的事物	invert
捷运公司	express
暴虐	violence
痛苦	anguish	cross	hurt	misery	pain	smart	torment	torture
样式	make	paradigm
乳脂	cream
大笔款项	packet
粪便	stool
秒	second
锋利	edge
死者	dead
涡轮机	turbine
货柜	container
玻璃	glass
车道	lane
考虑	consideration
秆	stalk
[病]震颤	thrill
种	race
芭蕾舞剧	ballet
秋	autumn
战栗	tremble
侄女	niece
语调	dialect	tone	tune
传送带	belt
相片	photo
男性穿的紧身裤	hose
轴线	axis
哲学体系	philosophy
安全设施	safeguard
苗圃	bed	nursery
上衣	coat
整枝法	training
度	degree	dimension
交通	traffic
主动性	initiative
列举的）项目	particular
]伊斯特尔地貌名称	Easter
咆哮声	roar
驱策力或拉力	locomotive
哨子	whistle
库	shed
副歌	refrain
竞赛等的）全体评审员	jury
看不见的人	invisible
床	bed
炸药	explosive
发光	lightening
扭	screw
足迹	footstep	trail
降低	reduction	slide
好奇	amaze
设备	device	equipment	facility	fitting	plant	provision	furniture
电火花	spark
消化道的下段	gut
安全瓣	safety
需要	demand	need	occasion	request
屈服	stoop	surrender	yield
衰竭	breakdown
（排出的）废气	exhaust
印成的图画	print
[美]奴仆	servant
临时雇员	temporary
优先考虑的事	priority
[火箭]助推器	motor
（一张）复写纸	carbon
平地层	table
贺词	compliment	congratulation
版税	royalty
杂志	journal	magazine	periodical
博士学位	doctorate
探测仪	probe
滥用	abuse
粗糙的部分	rough
人身自由	autonomy
美口入口	in
从句	clause
并存	coincidence
舱板	deck
女长服	gown
〈罕〉进行	procedure
性情	temper	tendency	disposition
意外的灾害	blow
溪谷	valley
主张	opinion	proposition
用法说明	direction
[数]次元	dimension
经营	operation	politics
（工资、薪金的）提升	raise
[商]囤积	corner
预测	estimate
感情的中枢	quick
环形物	ring
扩张物	expansion
相关性	relativity
力大如牛的人	bull
刑罚	penalty	torment
文诌诌	heroic
殖民时代建筑	colonial
超出额	overflow
人造毛	fur
承认或允许	concession
名气	reputation
富有战斗精神的人	militant
布景	set
发言等的）重点	burden
混凝土	concrete
扎	prick
公章	chop
（逻辑学中的）大[小]前提	premise
自相矛盾的人或事	paradox
宣传效用	publicity
路堤	fill
合格者	eligible
鸣禽	chat
压（力）	pressure
复合物	compound
几何形状	geometry
实习班	workshop
服侍	service
食客	parasite
音律	swing
短时间	little
轮胎	tire
耽搁	delay
政策	policy
高处	high
失误	fail	miss	mistake	slip	stumble
[化]臭氧	ozone
（台球等运动）（台球桌内侧边缘的）弹性衬里	cushion
按摩师	rubber
兔子肉	rabbit
关切	favor
闸门	gate
顺从	obedience
否认权	veto
奸情	intrigue
食品商	grocer
月状物	moon
电路	circuit
编号为五十的东西	fifty
产额	produce	yield
日常饮食	diet
[建]门或窗户上面的线脚	label
]伊斯特尔住所名称	Easter
口王室成员	royal
黄色植物染料	weld
美式足球用球	oval
舞台	stage
价值等）暴跌	tumble
围困	siege
足够	enough
住宅	house	residence
思索	thought
（路上的）休息（或进食）	bait
面包	bread
贿赂	bribe
要点	hang	heart	outline	point	sum
帝国领土	empire
制图	drawing
案件	case
声望	prestige	reputation
搁板	shelf
训诫	lesson
目前	now	now
叶柄	stalk
外界	environment
螺母	nut
恐怖	fright	horror	terror
播放时间	broadcast
有才能的	capable
汽车旅馆	motel
贮藏	storage
替换物	alternate
印象	effect	impress	impression
能谱	spectrum
明星	star
（靠近路中央的）外侧	outside
[语]转换	transition
病房	ward
（体育比赛中）胜利	win
消遣（方式）	recreation
泉源	fountain
星期六	Saturday
礼拜天	Sunday
恒心	stability
自治	autonomy
补偿	compensation	offset
小河	fleet	stream
[电影]情怀九月天	September
办公桌	desk
讽刺作品	satire
身高	height	inch
载货量	burden	shipment
侵害	prejudice	invasion
[语音学、韵律学]音量（指元音或音节的长短）	quantity
仪式	ceremony
赢	win
总统	president
模糊不定状态	vague
反复	repetition
雌性植物	female
如下	following
有限的事物	finite
当地产的动（植）物	native
会谈	conversation	interview
（法庭的）开庭	session
哲学思想	philosophy
人们以古希腊罗马的思想文化来繁荣文学艺术）	renaissance
相对物	counterpart
计时器	clock
珍珠光泽	orient
洗衣店	laundry
极盛时	full
恳求	plea	suit
幽暗	dusk
引号	quote
账簿	book
大写字母	capital
徽章	badge
骨质物	bone
作文	composition
含义是“复活节”(Easter)	Easter
珍珠	pearl
窑	stove
话务员	operator
盖住	tuck
[语]次重音	secondary
静止摄影	still
结霜	frost
梦	dream
通信	communication	correspondence
公职	office
研制	develop
（化验的）抽样	specimen
主办人	entrepreneur
（尤指）爱情的俘虏	conquest
水	water
招待会	reception
盖子	cover	lid
繁荣	boom	prosperity	up	wealth	welfare
结合（物）	bond
〈废〉学问	clergy
答辩	plea
梁	beam
包租	charter
掉换	shift
起重机	crane	hoist	lift
浩瀚	vast
查账	audit
[电影]克里斯蒂安	christian
干事	manager	steward
画家	painter
杀戮	blood	murder
守灵	wake
仪器	apparatus	instrument
一团糟	chaos
慈爱	affection
摇篮	cradle
（网球等的）球拍	bat
被流放者	exile
指针	finger
挥霍钱财	waste
原始人	primitive
本领	feat	goods	skill
拥挤	huddle	jam	squeeze
（英格兰、威尔士和北爱尔兰由议员选举产生的）镇长	mayor
地带	region	zone
说明书	specification
参加比赛的人	entry
监视	ward	watch
公尺	metre
贫民窟	slum
〈美俚〉支持政党上台所分到的好处	pork
（学术的）基本原理	grammar
温柔的女性	feminine
发布的新闻[消息]	release
晦暗	opaque
诗行	verse
管理技巧	management
（音乐的）调	key
（音频系统的输出信号在输入端收到时发生的）反馈杂音	feedback
牛肉	beef
鞋带	lace
礼节	ceremony
[牌]放在一边的几张牌	widow
文件夹	file
人面兽心的人	beast
英炸马铃薯片	crisp
学位	degree
语副词	adverb
插头	plug
抛弃	discard
琐事	trifle
（对爱人的昵称。男子用以称呼不相识的女子则有冒犯之嫌）宝贝儿	baby
高背长靠椅	settle
诉讼程序	procedure
识别力	sense
周末	weekend
高级官吏的家属	familiar
奸险的人	snake
活跃	activity
[计算机]光笔指令	gesture
衣领	collar	neck
（参与、得到等的）份	share
论文	article	paper	thesis
盛宴	banquet
阿妈	nurse
今晚	tonight
犹豫	pause
外部情况	external
块	block	lump	mass
坑	hollow
羁绊	bond
玫瑰	rose
不可多得的人才	treasure
有…样的骨头的	bone
大堆	flock
书	book
泉水	spring
九	nine
（动植物等的）分类学	classification
许可证	charter	letter	license	permit	warrant
心力	mind
给予	accordance
妥协（或折中）方案	compromise
害处	penalty
蓝本	prototype
（报刊等的）稿件	copy
雷声	thunder
怀有恶意的人	malignant
目击者	witness
日报	daily	journal
（通常指围起来的）果园	orchard
配对物	counterpart	mate
野鸭	duck
（图画或照片的）强光部份	highlight
精华	essence	flower	goodness	pick	prime
（诗中）节奏的停顿	pause
无用的数据	garbage
（用金属或塑料制作的）容器	can
出家人	religious
镶嵌图案	mosaic
围栏	pen	rail
厨房	kitchen
知情者	in
凤梨	pine
[化]萃取物	abstract
外貌	appearance	exterior
排气装置	exhaust
[医]牵引	extension
捍卫者	champion
增加的人或事物	addition
甜樱桃	merry
过渡期间	interim
董事长	president
最后命运或结局如何已显然可见者	candidate
装修	fitting
释放令	release
毛皮	skin	fur
共和国	commonwealth	republic
钻头	drill
九个	nine
结算单	statement
伤害	harm	hurt	prejudice	wound	injury
联邦政府	federation
从犯	accessory
（用于姓名或姓之前	miss
益处	advantage
礼拜四	Thursday
田埂	ridge
姨母	aunt
受赡养者	dependent
聚居地	colony
（乐器上的）弱音器	mute
摆动	swing
工作台	bench	table
有某种文科知识的人	scholar
大多数人	most
笑料	joke	laugh
正规军	regular
降半音	flat
萧条期	winter
一次吞咽的量	swallow
对手	match	opponent	rival
详述者	amplifier
侦察器	detector
干燥室	stove
所有物	effect	possession
虫爬着似的感觉	creep
喷泉水	fountain
稳定水平	plateau
（公共汽车和列车等的）常规路线	route
[物]极点	pole
粗心大意	nod
水桶	bucket
乳液	milk
〈罕〉（负伤鸟的）笔直向上飞	tower
[机]节速器	governor
（公司等的）董事长	chairman
三个人[东西]	three
起形成作用的人	former
崩溃	breakdown
地雷	mine
处事的能力	management
发票	receipt
领导	cock	guidance	lead	leadership
过错	fault	sin
序言	preface
烟草卷	twist
死亡	death	doom	fate	grave	tomb	exit
智力测验	puzzle
变换	conversion	shift
（某一学科或艺术形式等衰落后的）复兴	renaissance
（印有运动员编号的）运动背心	vest
强烈	intensity
（一年之中的）重大事件（或重要日期）一览表	calendar
法人	corporation
支出	expenditure
创作室	workshop
供装配的零件	assembly
（演出或活动的）程序	programme
角色	character	part	role
（路线或方向的）改变	turn
数倍数	multiple
建筑风格	architecture
传教士	missionary
食用的鸡（等的）腿	thigh
声音信号	audio
过低估价	underestimate
青肿	bruise
幼苗状物	sprout
（事情的）意义	port
桨叶的水平运动	feather
地点	site	spot
口哨	whistle
宇宙空间	void
渎神的言词	oath
税收	duty	revenue
教派	religion
考察	consideration	expedition
[航空学]跑道入口	threshold
财富	bag	means	pocket	wealth	worth	dollar
系统	system
占有物	possession
连锁商店	multiple
纷乱	coil
（金属的）发光的颗粒	spark
海绵	sponge
工装裤	overall
发冷	chill
杂技演员	acrobat
演出	performance
羞辱	shame
窗口	window
某方面	respect	way
尺度	gauge
地租	rent
（弯曲路面或轨道的）外道	outside
口服避孕药	pill
（机器部件等的）锁定	lock
直升机	helicopter
（旅馆的）住宿者	resident
结算	settlement
四十	forty
融洽	harmony
公映的新影片	release
事业心	enterprise
长靴	boot
离婚	divorce
进口货物	foreigner
相似物	analogue	parallel	resemblance	similar
英俚警察	bobby
喂送	feed
庙会	fair
（某种行为、感情等的）理由	cause
心窝	breast
复数	plural
生产率	productivity
可耻的事	sin
星期四	Thursday
翻译	translation
对称	symmetry
拥塞	choke
沉静	silence
毛发织物	hair
提倡者	advocate
古命运女神	weird
差使	embassy
（书、报、杂志等的）一版印刷总数	edition
优胜者	superior
铭文	legend
复写的副本	carbon
呐喊声	slogan
〈美〉（政界的）鸽派人士	dove
[物]张力	tension
（某些学院或大学的）董事	fellow
[天]天箭座	arrow
十年	decade
运河	canal
框架	frame	framework
成见	prejudice
壳层	envelope
洗手间	toilet
口刺激性言行	needle
职责或工作	duty
容量	capacity	content
柄	hand	shaft
斜面	slope	incline
瞬变现象	transient
罪恶之地	hell
季刊	quarterly
等级制度	hierarchy
无音信	silence
最有希望获胜者（尤指马）	favorite
咒逐	curse
保证书	guarantee
胃	stomach
学校范围内	campus
（会议等的）决议	resolve
撞击	bump
天然物质	crude
菖蒲	flag
大象	elephant
呻吟	groan
集团	collective
硫黄	sulfur
拖鞋	slipper
芦苇杆	reed
皇族	purple
全体乘务员	crew
表盘	dial
主管	director
手段	avenue	means	medium	passport	step	tactic	technique	action	implement	instrument
火箭	bird	rocket
（马口铁或其他金属制作的）食品罐头	can
食草动物	vegetarian
[艺]调和	rhythm
一撮	lock	pinch
弥撒升阶圣歌	gradual
非正式责任	pigeon
制动（装置）	arrest
资金偿还	refund
罢工	dispute
黄油	butter
〈美口〉歌唱会	sing
第一	first
（门、窗等的）闩	bar
人类	human	humanity	man	mankind	mortal	people	rational
绝妙的东西	vision
情报	intelligence
谈话	gossip	speech	tell
休息室	lobby
趋势	current	drift	stream	tendency	tide
冰雹	hail
敲门（或窗等）声	knock
结合力	bond
边音	lateral
路	path	road	route	row
珍爱的人	precious
摊位	booth
公式	formula
音槌	hammer
公开	daylight	open	exposure
[宗]教堂	church
病危	death
〈古〉战车	car
道德观	morality
[物]卵形线	oval
模糊不清的事物	blur
文风	language
（某一事物的）全部特征	syndrome
跳	skip
奋起	rouse
步	step
侦察机	scout
女统治者	mistress
大蒜	garlic
门	door	gate
荣誉	credit	glory	honor	merit	palm	reputation	distinction
元件	organ
答应	yes
才能	capacity	faculty	quality	skill	talent	ability
闸	brake
机长	captain
倡议	initiative
药剂	drug	agent
规划图	layout
[数]解析	analysis
反语	irony
极端	extreme
精确	true
土话	jargon
动	act
[纺织业]平针	plain
电导体	conductor
俗事	earth
洗澡水	bath
被下赌注的对象	bet
土语	dialect
（常指有强烈性吸引力的）两人间的关系	chemistry
一天	day
范围	area	boundary	confine	dimension	ground	horizon	horizon	lap	latitude	margin	pale	province	range	reach	realm	spectrum	spectrum	spread	territory	verge	zone	domain
俗人	layman
福利库	warehouse
人们	folk
武艺	feat
字母	letter
保存	conservation	reserve
三次幂	cube
绝顶	height
全部效果	amount
技工	mechanic
皈依者	convert
布	cloth	fabric	material
风俗	manner
（美式足球的）一节	quarter
堕落	pollution
生殖器	private
欢迎辞	greeting
推动变化的力量	dynamic
指定	assignment	destination
中间	mean	medium	middle	midst
唤醒	circuit
盆子	plate
带	band	realm	ribbon
最高统治权	empire
茶点	refreshment
重叠部分	overlap
（对学生等的）预考	preliminary
空心砖	tile
（作为一个单元处理的）作业	job
正午	noon
消费	consumption
（衣服的）肩部	shoulder
录像机	video
（螺丝的）转	screw
（市中）商业区	downtown
停止活动	layoff
激将	dare
工业股票	industrial
遥控器	remote
战争状态	warfare
执业者	practitioner
瓦片	tile
状似三明治的东西	sandwich
姐妹	sister
补给品的发放	log
心爱的事物	religion
夹心面包	sandwich
航天飞机	shuttle
[微]细胞核	nucleus
保留地	reservation
情人	beloved	bully	flame	lover
暴力	violence
取样器	probe
（报刊的）评论	review
向上甩头	toss
运输系统	transport
[法律]异议	exception
前景	outlook	prospect
映像	reflection
夸张	inflation
投票总数	ballot
心情	cheer	cue	feather	humor	mood	tune	affect
机能	mechanism
罐头盒	tin
回	chapter
申请	application
举刀（礼）	salute
亏空	deficit
强光	glare
囊	bag
蛮横的人	bear
冷饮柜	fountain
决心	mind	push	resolution
（电子计算机创造的）通讯、信息空间	cyberspace
杰出人物	worthy
底层	render
活跃的人	active
消失	eclipse	lapse
〈美〉新来移民	pilgrim
浮华少年	blade
频率分布	frequency
必然的事	certainty
绕在卷轴上的线（或金属丝、胶卷等）	reel
十九点钟	nineteen
团	lump	mass	mat
〈美俚〉古柯碱	candy
[印]下角码	inferior
一组	battery	pack
非正式鼠辈	rat
被揭露出来的事物	revelation
电讯	telegraph
[语]语支	dialect
人名科克	coke
人格	personality
（版心外）的空白	margin
面粉	flour
樱桃树	cherry
浸湿性	soak
大学校舍	university
需要量	requirement
栖息处	lie
机场	airport
<数>坐标	coordinate
最活跃或最激烈的部分	thick
拳击手套	glove
公报	bulletin
[航]航向	heading
常识	marble	wisdom
桨叶	blade
乐章	movement
英（大学的）专科	faculty
（画等的）背景	background
全景画	panorama
（鞋带等末端的）金属或塑料包头	tag
政治制度	regime
轻摇	jog
被抓住的人	grab
盘卷之物	coil
傲慢	superiority
手册	handbook	manual	notebook	brochure
影视]户外布景	exterior
统称某人拥有（或训练的）赛马	stable
[生]子代	daughter
许许多多	thousand
休息	rest
船尾	stern
畜舍	stable
（可随风摆动的）悬挂饰物	mobile
（棒球等的）球棒	bat
一桶（的量）	bucket
无线电	radio
[比喻]（考虑、问题的）角度	angle
微型画	miniature
兵蚁	soldier
中队	company
叠架的一层	storey
出路	outcome	outlet
[体]冠军	title
（爱称）宝贝儿	sugar
门童	porter
女王般的人	queen
清洗伤口	toilet
衬套	liner
古代人	ancient
拉丁语	Latin
二十多岁	twenty
踝关节	ankle
羞怯[胆小]的人	mouse
操纵杆	stick
季考	quarterly
可能性	bet	chance	fear	likelihood	odds	possibility	possible	probability
运费	carriage	fare	freight
[矿]救火员	fireman
暴动	riot
马上刺枪比赛	tilt
大灾难	catastrophe
扰嚷	racket
[医]养生法	regime
情绪	cue	emotion	feeling	sentiment
[精神病学]（表露或觉察到的）情绪反应	affect
[动]秧鸡	rail
被寄予希望的人或事物、情况	hope
制度	order	system	institution
末端	bottom	stern
划手	oar
正式辩解	apology
灵感	inspiration
自杀者	suicide
守夜	wake
攀登	climb	scramble
气象	weather
答案	answer	solution
航天员	astronaut
雨衣usuallyplural	waterproof
腹部	belly	stomach	abdomen
合力	resultant
助手	friend	help	second	aid	ally	assistant
刮面刀	razor
选萃	selection
纲领	charter	platform
奇迹	miracle	phenomenon	wonder
英（在河	bathe
会员全体	membership
节理	seam
小房间	cube
格	shelf
兑换（率）	exchange
根	root
最盛期	bloom
（会议的）一回合	round
比较	compare	comparison
大夫	doctor
酒宴	drink
雕刻（术）	sculpture
[主英国口语]诈骗	do
第二份食物	second
不拘束	ease
树	tree
吸烟	smoke
便宜货	bargain	buy	junk	steal	steal
穷人	poor
〈美〉一小时半以上的大场面电视节目	spectacular
病菌	bug
恶意中伤的话	dirt
展览会	fair
交谈	conversation	discourse	talk
航海	voyage
限定继承权	entail
圆柱	column	cylinder
软鞭子	switch
梳棉机	comb
关于个人的简讯	personal
男性	mankind	masculine
拒绝	denial	refusal
令人焦虑的事	anxiety
公园	garden	park
维修服务	service
管弦乐队的全部乐器	orchestra
花费	cost	spend	expenditure
空论	academic
自在	ease
素养	equipment	quality
眼镜框	frame
图书馆	library
可能的选择	whether
大主教	metropolitan
掩饰	blind	cloak	pretext	veil
太空人	astronaut
尽力	endeavor
（债权人）受优先偿还的权利	preference
环境等的）宜人	hospitality
地基	foundation	plot
红宝石	ruby
疆土	domain
粘固粉	cement
水平位置	horizontal
Clayton的昵称）	clay
幸福	welfare
安定	calm
名声	celebrity	esteem	fame	name	odor	reputation
磅	pound
悔流条	bus
胶水	glue
王朝	dynasty
兵营	camp
过分讲究穿戴的人	exquisite
猫熊	panda
诈骗者	shark
独一	one
安宁	rest	welfare
孪生儿之一	twin
（宗教等的）仪式	ritual
负荷	cargo	load
桌毯	carpet
安慰	comfort
磨	grind
星鲨	hound
（大气	region
[数]极小值	minimum
（食物）洋葱	onion
运气	chance	luck	ship
月桂树	bay
（无家可归者或受虐待者的）收容所	shelter
风扇	fan
踵	heel
平平的来由	complaint
讲演	delivery
[体]高尔夫球棒的尖端	toe
脚脖子	ankle
（小孩的）围兜	slipper
束	beam	bunch
（尤指人的）颏	chin
竞选运动	campaign
钞票	bill
改装物	conversion
防护衣	vest
有抵抗力的东西	resistant
四的	four
细菌	bug
电子邮件	e-mail
自大	importance
条	bar	item
板	board
农作物	crop
（报纸、杂志的）一份	edition
读数	reading
带刺的植物	thorn
白兰地酒	brandy
目标	destination	goal	mark	object	objective	target
安琪儿	angel
[信]接线员	operator
俗话	bat
十四的记号	fourteen
着重	emphasis
图样	drawing
（洗地毯、家具罩套、汽车等的）洗涤剂	shampoo
领子	collar
股份	stake	stock
松饼（食用时常佐以肉汁）	biscuit
烈度	intensity
[建]门侧	reveal
政治学	politics
礼拜日	Sunday
富国	have
[军]现役兵额	effective
十一月	November
线条	line
雀麦	cheat
幽默	humor
小孩子的）背心	waist
综合性中学	comprehensive
航行（学）	navigation
卷宗	file
密谋	intrigue
雌雄成对的动物	pair
座谈会	symposium
对立或相反的事物	contrary
纸条	slip
家庭作业	homework
陌生人	foreigner	stranger
〈英〉一次挤奶量	meal
（非正式）舞会	hop
三岁	three
厨子	cook
银币	silver
叙述手法	narrative
罗网	net
激动	boot	emotion	flame	stir	warmth	excitement
豪华	luxury
雇用	employment	engagement
英飓风式战斗驱逐机	hurricane
（大）家庭（包括父母子女及近亲）	family
跺脚	stamp
列兵	private
意外事件	accident
嗜好者	lover
弱化音	vanish
彻底改变	revolution
高压贮罐	bomb
残余物	scrap
加法	add
口绝境	hole
发动机	engine	motor
性格	character	kidney	make	mould	strain	temperament	disposition
（通常供吟唱的）叙事诗	lay
标准	gauge	grade	norm	normal	standard
官僚主义	bureaucracy
凭直觉感知的知识	intuition
成功所带来的好处	spoil
新闻记者	journalist
汹涌	surge	swell
（南半球的）发展中国家	south
运动员	athlete	sportsman
货运	freight
（尤用作称呼）爸	pop
放钱的抽屉	till
（热带）丛林	jungle
倾听	listen
八十岁	eighty
侦察队	patrol
录像磁带	video
辅助人员	auxiliary
劳工	labor
半身雕塑像	portrait
仙女	fairy
拘留所	gaol
导火线	signal	fuse
苦工	slave
轻松	ease
歪曲（事实）	violence
英大楼	block
凌辱	insult
线路	circuit	line
溜走	sneak
固体	solid
自愿行动	voluntary
[口语、贬义]脾气暴躁的人	dragon
椭圆运动场（等）	oval
金库	chest
倾向	bias	climate	lean	liability	stream	tendency	vein	disposition
瘫子	cripple
准许进入	admission
广告词句	message
保证金	deposit	earnest
手腕	wrist
模范	paradigm
寓意	moral
第二名	second
一点钟	one
长期的干渴	thirst
刺伤	prick
一束	budget
步骤	procedure	step
〈俚语〉女人	broad
行使否决权	veto
品德高尚的行为	morality
鸭肉	duck
法学	law
铃声	bell	ring
朝代	dynasty
行业	business	trade
容忍	tolerance
（热带地区的）雨季	rain
路肩	shoulder
轻微的斜视	cast
学时	period
乙醇	alcohol
〈古〉相对者	moral
找头	change
独唱（曲）	solo
（其他植物所生的绒毛状的）棉状物	cotton
限制因素	parameter
十四天	fortnight
<俚>精神病学家	shrink
（收件人的）称呼和地址	address
海岸	coast
抢劫	spoil
（计算机的）指令表	repertoire
悲剧	tragedy
包含的能力	comprehension
杂耍	variety
袖子	sleeve
十三个	thirteen
荒废	rust
（陆军的）工兵	engineer
观察报告	observation
彩色铅笔	pencil
日历	calendar
小团	pat
誓约	oath	plight
曲线图	graph
客舱	cabin
摘录	extract	excerpt
全胜	sweep
机密	secret
信誉	credit	reputation
独立国	sovereign
一罐	pot
塔兰特	talent
空运	air
破烂物	junk
呻吟声	moan
平方	square
陆军	army
精神病治疗法	psychiatry
[口]大量	acre
先辈	parent
病号	patient	invalid
雪崩	snowstorm
党派	circle	party
房间里所有的人	room
[机械学]夹头	dog
女孩	girl
（对上帝的）赞颂	glory
很小的数量	snatch
早期	childhood	morning
一桶的量	pail
考察队	expedition
冒险家	sportsman
邪恶的力量、势力或化身	evil
诗墓穴	cell
掌权者	in
邮政（制度）	mail
葬礼	funeral
巡逻队	patrol
厚的覆盖层	blanket
小块	knob	pat	tablet
才智	wit
恶言	abuse
开花期	bloom
大人物们	great
一阵狂风	flaw
尸体	body	dust
（支撑用的）直柱	upright
（花草的）茎	stem
某种程度	somewhat
非正式、侮辱植物人	cabbage
神	infinite
熊	bear
[计算机]保存	integrity
标示	indication
