abdomen	n.腹，下腹(胸部到腿部的部分)
slope	n.斜坡,斜面;倾斜,斜度 v.(使)倾斜
slum	n.贫民窟,贫民区,陋巷
sly	a.狡猾的,偷偷摸摸的
smash	v./n.打碎,粉碎
smell	n.气味;嗅觉 v.嗅,闻到;散发(…的)气味
smuggle	v.走私;偷运
snap	v.啪地移动；(使）突然断开，断开（成两截)
snatch	n./v.攫取,抢夺
sneak	vi.偷偷地走，溜vt.偷偷地做(或拿、吃)
sneeze	vi.打喷嚏，发喷嚏声n.喷嚏
sniff	vi.嗅…味道；抽鼻涕；对嗤之以鼻，蔑视
soak	v.浸泡,浸湿,浸透
soil	n.泥土,土地,土壤 v.弄脏,(使)变脏
solar	a.太阳的,日光的
solemn	a.庄严的,隆重的;严肃的
solve	v.解决,解答
sorrow	n.悲衰,悲痛
sow	v.播种
spade	n.铁锹,铲子
speak	v.说话，讲话；演说，发言；(in)说某种语言
specimen	n.标本,样本
spectacle	n.(pl.)眼镜;场面,景象;奇观,壮观
spectacular	a.壮观的,引人注目的 n.壮观的演出
spectator	n.观众,旁观者
spectrum	n.谱，光谱，频谱；范围，幅度，系列
spicy	a.加很多香料的；(口味)浓郁的
spill	v.溢出,溅出 n.摔下,跌下
spine	n.脊柱，脊椎；(动植物的)刺；书脊
spiral	a.螺旋形的 n.螺旋，螺线 v.螺旋上升；盘旋
spiritual	a.精神(上)的,心灵的
spit	v.吐(唾沫),吐痰 n.唾液
spite	n.恶意;怨恨
splash	v.溅,泼 n.溅,飞溅声
splendid	a.壮丽的,辉煌的;极好的
spoil	v.损坏,搞错;宠坏,溺爱
sponge	n.海绵
spontaneous	a.自发的,自然产生的
spoon	n.匙,调羹
spouse	n.配偶(指夫或妻)
spray	n.喷雾,飞沫,浪花,水花 v.喷,喷射
sprinkle	n.洒,喷,淋
sprout	vi.发芽，抽条 vt.使发芽 n.新芽，嫩苗
spur	n.靴刺,马刺;刺激,刺激物 v.刺激,激励
squirrel	n.松鼠
stab	v./n.刺,戳
stability	n.稳定,安定
stadium	n.体育场
stage	n.舞台,戏剧;阶段,时期
stagger	vi.摇晃着移动;蹒跚 n.摇晃不稳的动作;蹒跚
stain	n.污点,瑕疵 v.沾污;染色
staircase	n.(stairway)楼梯
stake	n.桩,标桩;赌注,利害关系
stale	n.变质的,不新鲜的;陈旧的,陈腐的
stall	n.货摊;畜栏,厩 v.(使)停转,(使)停止
stamp	n.邮票;印;跺脚;标志v.跺脚,顿足;盖章
staple	n.主要产品；名产；纤维；主要成分，主食
stare	v.(at)盯,凝视
startle	v.惊吓,使吃惊
statesman	n.政治家,国务活动家
stationary	a.静止的,固定的
stationery	n.文具
statistical	a.统计的,统计学的
statute	n.成文法，法令，法规；章程，规则，条例
steady	a.稳定的,不变的;坚定的v.(使)稳固/稳定
steak	n.牛排；大块肉(或鱼)片
steam	n.水汽,蒸汽,水蒸气 v.蒸发;蒸;用蒸汽开动
steamer	n.汽船,轮船
steep	a.陡峭的；险峻的；急剧升降的vt.浸泡,沉浸
steer	vt.驾驶，为…操舵；引导vi.驾驶
stem	n.茎，干 vt.堵(挡)住 vi.起源于，由…造成
stern	a.严厉的;坚决的,坚定的 n.船尾,舟尾
steward	n.乘务员，服务员；看管人；膳食管理员
stiff	a.硬的,僵直的;拘谨的;呆板的;艰难的
sting	v./n.刺,刺痛,剧痛;刺,叮
stir	v.搅拌,搅动;动,摇动;激动;轰动;煽动,鼓动
stitch	n.一针；(因跑步引起的)肋部剧痛 v.缝(合)
stomach	n.胃，胃口；肚子，腹部vt.承受，忍受
stool	n.凳子；(pl.)大便
stoop	v.弯腰,俯身 n.弯腰,曲背
stove	n.炉子,火炉
strain	v.拉紧;紧张;扭伤;竭尽全力 n.拉紧;负担
strap	n.皮带，带子v.用带扣住，束牢；用绷带包扎
straw	n.稻草,麦杆;吸管
strawberry	n.草莓
strenuous	a.费力的，艰辛的；奋发的，努力的
stress	n.压力；重要性；应力；重音vt.强调，重读
stretch	v.伸展，延伸 n.拉长；伸展；一段时间/路程
strict	a.(with)严格的,严厉的;严谨的,精确的
stride	vi.大踏步走；跨越 n.一大步(pl.)长足进步
strife	n.争吵；冲突，斗争；竞争
striking	a.显著的；惹人注目的，容貌出众的
string	n.弦,线,细绳;(一串),(一行) v.缚,捆
strive	v.奋斗,努力
stroke	n.击;报时的钟声;一击/划/笔;中风 v.抚摸
stroll	n.&v.漫步；散步；游荡
struggle	n./v.斗争,奋斗,努力
stubborn	a.顽固的,倔强的;难对付的,难以克服的
stun	vt.使…失去知觉；使目瞪口呆，使吃惊
sturdy	a.坚定的，不屈不挠的；强健的，结实的
subjective	a.主观(上)的，个人的
submarine	n.潜水艇 a.水底的,海底的
submerge	v.沉没,淹没;潜入
subordinate	a.(to)次要的,从属的;下级的
subsequent	a.随后的,后来的
subsidy	n.补助金；津贴费
substance	n.物质；实质，本质；主旨；财产，资产
substantial	a.实质的;相当的;显著的;坚固的;富裕的
substitute	n.代替者；替身；代用品 v.(for)代替,替换
subtle	a.精巧的,巧妙的;细微的,微妙的
subtract	v. (from)减(去)
suburb	n.市郊,郊区
succession	n.连续,系列;继任,继承
successive	a.接连的,连续的
sudden	a.出乎意料的，突然的
sue	v.控告,对…提出诉讼,起诉
suffice	v.充足，足够；vt.(食物等)使(某人)满足
suite	n.套间；一套家具；套，组，系列
sulfur	n.(sulphur)硫
summon	v.召唤;传讯,传唤;鼓起(勇气),振作(精神)
superb	a.极好的,杰出的；华丽的；
superficial	a.表面的;肤浅的,浅薄的
superfluous	a.多余的，过剩的，
superior	a.优良的,卓越的;上级的 n.上级;长者;高手
superiority	n.优越(性)，优势，优等；高傲，傲慢
supermarket	n.超级市场
supersonic	a.超音速的,超声波的 n.超声波，超声频
superstition	n.迷信，迷信的观念习俗
supplement	n.补遗;增刊;附录 v.增刊,补充
suppress	v.镇压,压制;抑制,忍住;查禁
supreme	a.极度的,最重要的;至高的,最高的
surge	vi.汹涌；彭湃；蜂拥而至 n.巨浪;汹涌;彭湃
surgeon	n.外科医生
surgery	n.外科,外科学;手术室,诊疗室
surpass	vt.超过,胜过
surrender	vi.投降，屈服 vt.放弃，交出 n.投降，认输
survey	v./n.俯瞰,眺望;全面审视,调查;测量图,勘定
susceptible	a.易受影响的;易受感动的;易受感染的
suspicion	n.怀疑，猜疑；一点儿，少量
suspicious	a.(of)可疑的,多疑的,疑心的
swallow	n.燕子;吞咽vt.吞,咽;轻信;忍受;vi.咽口水
swamp	n.沼泽；湿地 vt.浸没；使…应接不暇
swarm	n.蜂群;一大群 vi.涌往;挤满;云集;成群移动
sway	vi.摇动；倾斜 vt.使摇动 n.摇动；影响力
sweat	n.汗 v.(使)出汗
sweater	n.毛衣,绒衣,厚运动衫
swell	n./v.肿胀;膨胀;增大;增加;
swim	vi.游泳;游;漂浮;眩晕;充溢 vt.游过 n.游泳
swing	v.摇摆,摇荡,回转,旋转 n.秋千;摇摆,摆动
switch	n.开关；转换；鞭子 v.转变,转换；抽打
symphony	n.交响乐,交响曲
symposium	n.讨论会,专题报告会;专题论文集
symptom	n.(疾病的)症状；(不好事情的)征兆,表征
syndrome	n.综合病征；并存特性
tablet	n.药片;碑,匾
tackle	n.滑车;用具,器械 v.处理,解决;抱住,抓住
tame	a.驯服的,温顺的;沉闷的,乏味的 vt.驯服
tan	n./a.(皮肤因日晒而成)棕褐色(的) vt.晒黑
tar	n.柏油，焦油 vt.涂或浇柏油/焦油于
tariff	n.关税,税率;(旅馆,饭店等)价目表,收费表
tear	n.(pl.)眼泪 vt.撕裂；使…分裂 vi.破裂
tedious	a.乏味的,单调的,冗长的
temperament	n.气质，性格，性情；资质
temperature	n.温度，体温；热度，发烧
tendency	n.趋势，趋向；倾向
tennis	n.网球
tense	n.时态 v.拉紧，(使)紧张 a.绷紧的，紧张的
tentative	a.试探性的，暂时的；犹豫不决的
theoretical	a.理论(上)的
therapy	n.治疗，(不需要药物或手术的)物理疗法
thermal	a.热的,热力的；(小规模的)上升气流
thermometer	n.温度计
thesis	n.(pl.theses) 论文;论题;论点
thigh	n.大腿；股骨
thirteen	num./a.十三 pron.十三(个，只...)
thrift	a.节约，节俭
thrill	n.一阵激动(恐惧) v.激动；(使)毛骨悚然
thrust	vt.插入；猛推 n.插，推力 vi.刺，戳，冲
tight	a.紧的;紧身的,装紧的;密封的 ad.紧紧地
tile	n.瓦片,瓷砖 vt.铺瓦于，贴砖于
tilt	v.(使)倾侧；(使)倾斜 n.倾侧；倾斜
timid	a.胆怯的,怯懦的
tire	v.(使)疲倦,(使)厌倦 n.(=tyre)轮胎,车胎
tired	a.疲劳的;厌倦的
tiresome	a.使人厌倦的,讨厌的
toast	n.烤面包,吐司;祝酒(词)v.烘,烤;(向…)祝酒
tomb	n.坟,冢
tongue	n.舌;语言
torch	n.手电筒;火炬,火把
toss	vt.向上掷/扔；摇摆，颠簸 n.投，扔；摇动
tough	a.坚韧的,棘手的;强健的,吃苦耐劳的;粗暴的
toward	prep.(towards)朝，向；将近；对于；为了
towel	n.毛巾 vt.用毛巾擦或擦干
tragic	a.悲剧的,悲惨的
traitor	n.叛徒,卖国贼
tram	n.有轨电车
tramp	n./v步行;沉重的脚步声(走)v.践踏n.流浪者
transcend	vt.超出,超越(经验、知识、能力的范围等)
transistor	n.晶体管；晶体管收音机
transition	n.转变，变迁，过渡(时期)
transmission	n.播送,发射;传动,传送
transmit	vt.传输/导；转送；发射 vi.发射信号；发报
tray	n.盘,碟,托盘
treason	n.谋反,通敌,叛国
treasure	n.财宝,财富;珍品 v.珍爱,珍惜
treat	v.对待;治疗;论述;款待,请客 n.款待,请客
treaty	n.条约，协议，协商
trench	n.&v.(挖)沟，(挖)战壕
trial	n.讯问，审讯；试验；试用；尝试
tribe	n.种族，部落；(植物，动物)族，类
trick	n.诡计,骗局;恶作剧;窍门 vt.欺骗,哄骗
trifle	n.少量；小事,琐事 v.玩弄；嬉耍；忽视
trim	a.整齐的,整洁的 v./n.整理,修整,装饰
trivial	a.琐碎的;无足轻重的
trolley	n.手推车;(英)无轨电车,(美)有轨电车
tropic	n.回归线；[the T-s]热带地区
tropical	a.热带的
truck	n.卡车,载重汽车
trunk	n.大衣箱,皮箱;(汽车后部)行李箱;树干,躯干
tub	n.木盆,澡盆
tube	n.管,软管;电子管,显像管;地铁
tuck	v.卷起;塞进
tumble	v.(使)摔倒;打滚,翻腾 n.摔跤,跌倒
tumour	n.(tumor)(肿)瘤，肿块
tutor	n.导师;家庭教师 v.辅导;当导师;当家庭教师
twin	a.双的,成对的,孪生的 n.孪生子,双生子
twinkle	vi.(星等)闪烁，(眼情)发亮 n.闪烁，闪光
twist	v.捻;拧;扭曲;蜿蜒曲折而行 n.拧;歪曲;曲折
typewriter	n.打字机
typhoon	n.台风
typist	n.打字员
ultraviolet	a./n.紫外线(的)
unanimous	a.全体一致的,一致同意的
underlie	vt.位于...之下, 成为...的基础
undermine	v.暗中破坏,逐渐削弱;侵蚀…的基础
underneath	prep.在…下面 ad.在下面,在底下
undertake	v.承担,担任;许诺,保证;着手,从事
uneasy	a.不安的,焦虑的
unify	v.使联合,统一;使相同,使一致
unity	n.团结;统一,一致,整体
university	n.(综合)大学
upgrade	v.提升,使升级
uphold	vt.支持,赞成;举起;坚持
upon	prep.在…上；在…旁 [=on]
upright	a.垂直的,直立的;正直的,诚实的 ad.竖立着
uproar	n.骚动,喧嚣,鼎沸
urgent	a.急迫的，紧要的，紧急的
utilize	vt.利用
utmost	a.最远的;极度的 n.极限,极度,最大可能
utter	v.说,发出(声音) a.彻底的,完全的
vacant	a.空的,未占用的;空缺的;神情茫然的
vacation	n.休假,假期
van	n.有篷汽车;有篷货运车厢
vanish	vi.突然不见;消失
vanity	n.虚荣心,浮华
vapour	n.(vapor)汽，(水)蒸气
vase	n.花瓶,瓶
vegetable	n.蔬菜,植物 a.植物的,蔬菜的
vegetarian	n.素食主义者
vegetation	n.植物,草木
veil	n.面纱,遮蔽物 v.用面纱掩盖,掩饰
vein	n.血管;静脉;叶脉;纹理;情绪 vt.使成脉络
velocity	n.速度,速率
velvet	n.丝绒,天鹅绒 a.丝绒制的,柔软的
ventilate	vt.使通风;给…装通风设备
venture	v.冒险,拼;大胆表示 n.冒险事业,拼,闯
verb	n.动词
verbal	a.用言辞的,用文字的;口头的;动词的
verdict	n.(陪审团的)裁决,判决；判断；定论
verge	n.边,边缘 v.濒临
versatile	a.通用的;多才多艺的,多方面的
verse	n.韵文,诗;诗节,诗句
version	n.版本;译本,译文;说法
vessel	n.容器,器皿;船,舰;管,血管
vest	n.背心,马甲;汗衫,内衣
veteran	n.老手,老兵
veto	n./v.否决
vice	n.邪恶;恶习;(pl.)台钳,老虎钳
vicinity	n.邻近,附近
vicious	a.恶毒的,凶残的,邪恶的
vigorous	a.朝气蓬勃的,精力旺盛的
vinegar	n.醋
virgin	n.处女 a.处女的;纯洁的;原始的;未使用的
virtue	n.德行,美德;贞操;优点;功效,效力
virus	n.病毒;(精神,道德方面的)有害影响
vital	a.生死攸关的,重大的;生命的,生机的
vocal	a.声音的;有声的;歌唱的 n.元音;声乐作品
vocation	n.职业;召唤;天命;天职;才能
volcano	n.火山
volt	n.伏特
voltage	n.电压
vowel	n.元音,元音字母
vulgar	a.粗俗的，庸俗的，本土的，通俗的，普通的
vulnerable	a.易受攻击的
waist	n.腰,腰部
wander	v.漫步,徘徊;迷路,迷失方向;离题
ward	n.病房;行政区;监护;被监护人 vt.挡住
wardrobe	n.衣柜,衣厨;衣服;行头;剧装
warehouse	n.仓库,货栈
warfare	n.战争(状态);斗争;冲突
warmth	n.暖和,温暖;热心,热情
waterproof	a.防水的,耐水的
watt	n.瓦,瓦特
wax	n.蜡,蜂蜡 v.打蜡
weak	a.虚弱的,软弱的;不够标准的;淡薄的,稀的
weary	a.疲倦的;令人厌烦的 v.使疲倦,使厌倦
wedge	n.楔,楔形 vt.楔牢,楔入,挤进
weed	n.杂草,野草 v.除草,锄草
weep	v.哭泣,流泪;滴下 n.哭泣
weigh	v.称…重量,称;重达;考虑,权衡
weird	a.古怪的，离奇的；怪诞的，神秘而可怕的
weld	v.焊接 n.焊接,焊缝
well	ad.好，令人满意地；很 int.哎呀，好啦，嗯
whale	n.鲸；庞然大物
wheat	n.小麦
whereas	conj.而,却,反之
whip	n.鞭子;车夫 v.鞭打,抽打;突然移动
whirl	v.(使)旋转,打转 n.旋转;-连串快速的活动
whisky	n.威士忌酒
whisper	v.耳语;私下说,偷偷告诉 n.耳语;传闻
whistle	n.口哨,汽笛;口哨声,汽笛声 v.吹口哨;鸣笛
wholesome	a.卫生的;有益的;健康的,有益健康的
wholly	ad.完全地,全部,一概
wink	v.(使)眨眼；眨眼示意 n.眨眼；小睡，打盹
wipe	v./n.擦,揩,抹
wire	n.金属线,电线;电报,电信 v.发电报(给)
without	prep.无，没有 n.外面，外部
withstand	vt.抵抗,经受住
wonder	n.惊奇,惊异;奇迹,奇事 v.(at)诧异;想知道
wool	n.羊毛,毛线,毛织品
word	n.词，词语；言语，话；谈话；消息，信息
wreath	n.花环,花圈
wretched	a.可怜的;悲惨的;肮脏的;恶劣的
yawn	v.打呵欠 n.呵欠
zeal	n.热心，热忱，热情
zebra	n.斑马
zigzag	n./a.之字形(的) v.使曲折,曲折盘旋
zinc	n.锌
zoom	vi.(飞机)陡升 n.陡升；嗡嗡声
